Type of weapon,Caliber,Brand/Model,Permissibility in civilian circulation,ID Code,Full Name,Date of Birth,Residential Address,Weapon Registered Date,License Number,Affiliation,Prior Incidents,Notes on Modifications,Nationality,Gender,Occupation,Education Level,Marital Status
Adapter,222 Rem,Keller-Simmann,Yes,39011067389,Aleksandr Kirillov,1990-11-06,"USCGC Õispuu, FPO AP 57410",2006-10-17,EE-GUN-419901,None,No,Scope added,Estonian,Male,Lawyer,PhD,Single
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,36111069979,Aivar Kalda,1961-11-06,"8719 Julia Cliff Apt. 313, Aleksandrborough, IL 88363",1984-01-09,EE-GUN-462542,Tallinn Marksmen Club,No,-,Estonian,Male,Nurse,Bachelor's,Single
Adapter,22LR,CZ-581/584,Yes,37712073026,Jaan Valge,1977-12-07,"3218 Valentina Ferry Suite 166, Remmeltown, NJ 58939",2005-11-03,EE-GUN-942910,None,None,Barrel shortened,Estonian,Male,Engineer,PhD,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,48308269444,Sirje Kärner,1983-08-26,"067 Kristiina Vista Apt. 856, Voroninshire, KS 74011",1997-09-12,EE-GUN-774491,Tallinn Marksmen Club,Yes,-,Estonian,Female,Teacher,PhD,Widowed
Adapter,22LR,CZ-581/584,Yes,38805296233,Dmitri Jakovlev,1988-05-29,"75811 Andrei Keys, Aleksandrabury, PA 46177",2016-04-14,EE-GUN-977674,None,None,Modified grip,Estonian,Male,Lawyer,PhD,Widowed
Adapter,22LR,CZ-581/584,Yes,50405124616,Priit Sarap,2004-05-12,"USNV Sirel, FPO AP 92437",2023-07-15,EE-GUN-355276,Reserve Military,No,Barrel shortened,Estonian,Male,Teacher,Bachelor's,Single
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47707317045,Anna Klein,1977-07-31,"079 Lepp Grove, Lake Mare, ME 11629",2010-04-08,EE-GUN-630820,Reserve Military,No,-,Estonian,Female,Teacher,Master's,Divorced
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,37411024312,Ants Lääne,1974-11-02,"797 Piir Prairie Suite 898, Elenahaven, WA 15862",1993-02-20,EE-GUN-453064,Reserve Military,None,Scope added,Estonian,Male,Engineer,Master's,Single
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,46412269265,Jelena Volkov,1964-12-26,"476 Lepp Fall, Tatjanashire, MO 52012",1997-01-25,EE-GUN-545598,Tallinn Marksmen Club,No,Modified grip,Estonian,Female,Engineer,High School,Married
Adapter,22LR,CMMG-Bravo-AR-15,Yes,48102287341,Anne Mürk,1981-02-28,"4480 Eve Keys Apt. 978, South Aleksandra, SD 66908",2015-02-12,EE-GUN-664861,Tallinn Marksmen Club,Yes,Scope added,Estonian,Female,Lawyer,Bachelor's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,48403300348,Anneli Koppel,1984-03-30,"2494 Natalia Courts, Tarmofort, MD 82010",2007-05-27,EE-GUN-606697,Reserve Military,None,Barrel shortened,Estonian,Female,Teacher,Bachelor's,Single
Adapter,222 Rem,Keller-Simmann,Yes,47810161461,Eve Lauri,1978-10-16,"060 Raadik Overpass Suite 108, Maasikville, IN 35220",2007-09-28,EE-GUN-328698,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Female,Engineer,Master's,Single
Adapter,223 Wylde,Deserttech-MDRX,Yes,49010206510,Kadri Reimann,1990-10-20,"465 Marek Turnpike Apt. 049, New Aleksandra, WA 01704",2016-07-07,EE-GUN-293310,Reserve Military,No,Barrel shortened,Estonian,Female,Retired,Master's,Widowed
Adapter,22LR,CZ-75-Kadett-adapter,Yes,37103292811,Nikolai Romanov,1971-03-29,"241 Hallik Station Suite 909, South Jaanusville, HI 63801",1998-03-05,EE-GUN-592763,Tallinn Marksmen Club,None,Scope added,Estonian,Male,Lawyer,PhD,Widowed
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,50105051978,Kristjan Sillaots,2001-05-05,"61292 Tuulik Shore, Maksimstad, WA 04337",2026-03-20,EE-GUN-879883,Narva Gun Enthusiasts,None,Modified grip,Estonian,Male,Retired,Master's,Divorced
Adapter,22LR,CZ-581/584,Yes,37604111675,Kristjan Härm,1976-04-11,"44895 Jaan Passage Apt. 268, Andresmouth, NC 16483",2014-05-22,EE-GUN-895411,Reserve Military,None,Modified grip,Estonian,Male,Police Officer,Bachelor's,Married
Adapter,22LR,CZ-581/584,Yes,48908063852,Laura Sarap,1989-08-06,"35596 Siim Centers, Triinburgh, OH 36797",2011-11-26,EE-GUN-349042,None,None,Barrel shortened,Estonian,Female,Lawyer,PhD,Divorced
Adapter,22LR,CMMG-Bravo-AR-15,Yes,50001167756,Oleg Orlov,2000-01-16,"214 Ene Ferry Suite 273, East Riinaport, MT 73826",2029-10-07,EE-GUN-718996,Reserve Military,No,Scope added,Estonian,Male,Retired,PhD,Widowed
Adapter,22LR,Blaser-R-8,Yes,39507209415,Tarmo Pihlak,1995-07-20,"83823 Kadak Village, New Kristina, MA 99904",2032-07-30,EE-GUN-650762,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Male,Engineer,High School,Single
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47501282829,Aleksandra Gontšarov,1975-01-28,"3016 Truu Throughway, Laaneport, KS 17900",1990-07-14,EE-GUN-791407,Narva Gun Enthusiasts,Yes,Scope added,Estonian,Female,Engineer,PhD,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,60003223659,Elena Maksimov,2000-03-22,"79268 Igor Club Apt. 257, Kristinahaven, DE 12040",2014-02-23,EE-GUN-270144,Reserve Military,No,Barrel shortened,Estonian,Female,Nurse,PhD,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,48910018448,Merike Õun,1989-10-01,"9028 Fedotov Manor Apt. 451, Tatianatown, WA 35466",2018-02-28,EE-GUN-109971,None,None,Scope added,Estonian,Female,Police Officer,PhD,Single
Adapter,22LR,CMMG-Bravo-AR-15,Yes,36804287007,Marko Jänes,1968-04-28,"189 Jaan Square Suite 210, Bogdanovmouth, IL 24940",2006-03-01,EE-GUN-696984,Narva Gun Enthusiasts,No,Barrel shortened,Estonian,Male,Engineer,PhD,Married
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,48805088452,Laura Ivask,1988-05-08,"378 Tamara Divide Apt. 540, East Igor, AZ 11549",2028-12-29,EE-GUN-964439,None,No,Scope added,Estonian,Female,Police Officer,PhD,Widowed
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,48706301423,Aleksandra Maksimov,1987-06-30,"23133 Raamat Extension, Tiiuland, MO 03970",2022-10-25,EE-GUN-132867,Reserve Military,No,Barrel shortened,Estonian,Female,Teacher,High School,Divorced
Adapter,22LR,Blaser-R-8,Yes,50004247262,Jaanus Põld,2000-04-24,"217 Pärtel Crossing, Port Kristina, MN 58231",2028-01-25,EE-GUN-781807,Tallinn Marksmen Club,None,Modified grip,Estonian,Male,Police Officer,High School,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60201014590,Jekaterina Aleksandrov,2002-01-01,"83459 Alexander Springs Suite 823, New Romanview, CA 35845",2040-09-25,EE-GUN-971791,Tallinn Marksmen Club,None,-,Estonian,Female,Teacher,Bachelor's,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,37702035609,Tõnu Vain,1977-02-03,"7257 Tarmo Alley Suite 952, North Aivarburgh, AZ 44114",2003-06-05,EE-GUN-426388,Tallinn Marksmen Club,None,-,Estonian,Male,Retired,Master's,Widowed
Adapter,22LR,Blaser-R-8,Yes,36908063485,Tõnu Käsper,1969-08-06,"8125 Kass Pass, West Tarmo, AK 56532",2003-09-26,EE-GUN-509034,Reserve Military,No,Modified grip,Estonian,Male,Police Officer,PhD,Married
Adapter,22 Hornet,Hubertus,Yes,50112123077,Andrus Pruul,2001-12-12,"76710 Saks Dale Suite 837, New Viktoriaton, DE 59169",2038-05-07,EE-GUN-891468,Narva Gun Enthusiasts,No,Scope added,Estonian,Male,Teacher,PhD,Married
Adapter,22LR,Blaser-R-8,Yes,49612226378,Kristi Kütt,1996-12-22,"726 Piret Street Apt. 775, Julialand, WV 07723",2023-05-21,EE-GUN-709668,Narva Gun Enthusiasts,No,Barrel shortened,Estonian,Female,Engineer,PhD,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,47912113074,Tiiu Veski,1979-12-11,"26752 Vladimir Drive Suite 153, Lake Martin, ND 16654",2014-08-13,EE-GUN-195908,Tallinn Marksmen Club,None,Barrel shortened,Estonian,Female,Retired,PhD,Single
Adapter,22LR,Blaser-R-8,Yes,60007292959,Galina Kondratjev,2000-07-29,"18090 Moor Flats, Voroninburgh, MA 61714",2035-04-20,EE-GUN-647241,Narva Gun Enthusiasts,None,Scope added,Estonian,Female,Nurse,Bachelor's,Widowed
Adapter,222 Rem,Keller-Simmann,Yes,49005233060,Sirje Koppel,1990-05-23,"992 Kristi Key, Lindaside, IL 46463",2012-10-10,EE-GUN-341616,Narva Gun Enthusiasts,Yes,Scope added,Estonian,Female,Nurse,High School,Widowed
Adapter,22 Mag,Krieghoff-Extra,Yes,37703203285,Oleg Kirillov,1977-03-20,"708 Põder Green Suite 575, Nõmmikchester, SD 61863",2017-01-09,EE-GUN-152932,None,None,Modified grip,Estonian,Male,Teacher,Bachelor's,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,46405051183,Malle Teesalu,1964-05-05,"9918 Valentina Camp, East Andreiburgh, KS 88723",2001-05-20,EE-GUN-723876,None,None,-,Estonian,Female,Engineer,Bachelor's,Divorced
Adapter,22 Hornet,Hubertus,Yes,39106073893,Urmas Kutsar,1991-06-07,"5256 Tõnu Estate Apt. 345, Saulmouth, KS 90054",2021-10-21,EE-GUN-383036,None,None,Barrel shortened,Estonian,Male,Police Officer,Bachelor's,Widowed
Adapter,22LR,Blaser-R-8,Yes,38308182755,Margus Hanson,1983-08-18,"5359 Jekaterina Mountains, Margusshire, NH 72032",2022-04-26,EE-GUN-398335,Tallinn Marksmen Club,None,Scope added,Estonian,Male,Teacher,High School,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,47712070080,Niina Lehtla,1977-12-07,"09895 Ots Passage Suite 224, Hallikview, WI 85351",2015-07-14,EE-GUN-507702,Reserve Military,Yes,Barrel shortened,Estonian,Female,Lawyer,Bachelor's,Married
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,37511063422,Ants Kalm,1975-11-06,"421 Kasemets Bridge Suite 972, Antonovton, OK 84750",2009-12-14,EE-GUN-670600,Narva Gun Enthusiasts,No,-,Estonian,Male,Retired,High School,Married
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47806261819,Tiiu Sepp,1978-06-26,"50230 Aleksandra Pine, North Jüri, HI 40563",2003-01-25,EE-GUN-888138,Tallinn Marksmen Club,None,-,Estonian,Female,Engineer,Master's,Widowed
Adapter,22LR,CZ-581/584,Yes,48902167650,Ljubov Popov,1989-02-16,"31875 Marek Skyway Suite 076, South Anuberg, NV 64660",2022-01-05,EE-GUN-261135,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Female,Retired,Master's,Married
Adapter,22 Hornet,Hubertus,Yes,39905111148,Aleksei Kuznetsov,1999-05-11,"Unit 0388 Box 2023, DPO AE 31993",2019-12-09,EE-GUN-765659,Reserve Military,No,-,Estonian,Male,Nurse,PhD,Single
Adapter,22 Hornet,Hubertus,Yes,46506262947,Eve Nurm,1965-06-26,"8801 Suur Unions Apt. 603, Üllefurt, MT 36627",1991-08-12,EE-GUN-403357,Tallinn Marksmen Club,Yes,Scope added,Estonian,Female,Nurse,High School,Divorced
Adapter,22LR,CZ-581/584,Yes,48008206402,Piret Unt,1980-08-20,"546 Mägi Village Suite 332, Teearutown, CO 75906",2016-07-18,EE-GUN-352646,Reserve Military,None,-,Estonian,Female,Retired,Bachelor's,Divorced
Adapter,22 Mag,Krieghoff-Extra,Yes,36604165251,Aleksander Varik,1966-04-16,"169 Sepp View, Irinashire, AR 77311",1986-05-21,EE-GUN-665349,None,Yes,Modified grip,Estonian,Male,Nurse,Master's,Single
Adapter,22LR,CMMG-Bravo-AR-15,Yes,60607074575,Malle Ots,2006-07-07,"110 Niina Fork Apt. 018, Visnapuuside, PA 88661",2031-02-03,EE-GUN-225951,None,Yes,-,Estonian,Female,Police Officer,PhD,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,39006174094,Vello Aavik,1990-06-17,"91194 Novikov Corners, Puuseppport, UT 11413",2011-05-24,EE-GUN-402752,Tallinn Marksmen Club,None,Modified grip,Estonian,Male,Police Officer,Master's,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,39503112101,Aleksander Fomin,1995-03-11,"98023 Ots Alley, Lake Markoview, NY 88686",2022-02-23,EE-GUN-951200,Tallinn Marksmen Club,No,-,Estonian,Male,Teacher,Bachelor's,Divorced
Adapter,22LR,Blaser-R-8,Yes,38806058334,Martin Müürsepp,1988-06-05,"957 Sisask Underpass Suite 926, Treierchester, NC 49759",2016-01-22,EE-GUN-324653,None,No,Modified grip,Estonian,Male,Lawyer,Master's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60403072446,Natalja Naumov,2004-03-07,"Unit 7479 Box 9855, DPO AE 62254",2018-03-10,EE-GUN-462246,Tallinn Marksmen Club,Yes,Scope added,Estonian,Female,Teacher,Master's,Divorced
Adapter,22LR,CZ-581/584,Yes,46607255874,Linda Kurg,1966-07-25,"6904 Tiina Branch Apt. 872, Matimouth, MT 67015",2005-10-18,EE-GUN-256563,Reserve Military,Yes,Barrel shortened,Estonian,Female,Retired,PhD,Widowed
Adapter,22LR,CZ-581/584,Yes,47402107929,Aino Kivimäe,1974-02-10,"1532 Piret Crescent, Aleksandermouth, CA 08004",1999-11-26,EE-GUN-765910,Reserve Military,Yes,Scope added,Estonian,Female,Nurse,High School,Married
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,38112130945,Jaanus Simson,1981-12-13,"992 Michelson Hill, East Urmasside, DC 09363",2021-12-27,EE-GUN-109614,Reserve Military,Yes,Modified grip,Estonian,Male,Retired,Master's,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,48908176254,Tiina Viira,1989-08-17,"3466 Sibul Ranch, South Kristjanchester, LA 84179",2029-03-05,EE-GUN-354883,None,No,Barrel shortened,Estonian,Female,Retired,PhD,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,38305038311,Martin Eller,1983-05-03,"6696 Jermakov Prairie Suite 057, Schmidtville, IA 85091",2007-12-12,EE-GUN-306071,None,No,Scope added,Estonian,Male,Teacher,Bachelor's,Married
Adapter,223 Wylde,Deserttech-MDRX,Yes,39711225127,Tiit Juhanson,1997-11-22,"1338 Nurk Groves Suite 105, Annelitown, OR 96891",2027-02-13,EE-GUN-157913,Reserve Military,No,Modified grip,Estonian,Male,Engineer,PhD,Divorced
Adapter,223 Wylde,Deserttech-MDRX,Yes,60008013371,Merike Laks,2000-08-01,"918 Petrov Hills Suite 132, New Laurafurt, UT 85227",2027-10-19,EE-GUN-237453,Tallinn Marksmen Club,No,Modified grip,Estonian,Female,Engineer,PhD,Single
Adapter,222 Rem,Keller-Simmann,Yes,38707111499,Juri Moroz,1987-07-11,"71185 Püvi Field, Afanasjevberg, NV 40167",2014-04-25,EE-GUN-310226,Reserve Military,None,Barrel shortened,Estonian,Male,Retired,Master's,Married
Adapter,22LR,CZ-581/584,Yes,48305043334,Malle Aun,1983-05-04,"521 Margus Trail, South Ljubov, OH 58999",2003-09-26,EE-GUN-404090,Tallinn Marksmen Club,No,-,Estonian,Female,Teacher,High School,Single
Adapter,22LR,CMMG-Bravo-AR-15,Yes,36110238216,Rein Kutsar,1961-10-23,"8957 Link Shores, North Anna, NJ 35043",1982-08-08,EE-GUN-346180,Reserve Military,None,Barrel shortened,Estonian,Male,Retired,PhD,Widowed
Adapter,22LR,Blaser-R-8,Yes,60310089549,Maria Frolov,2003-10-08,"66915 Stepanov Gateway, Pavelton, WV 77770",2030-05-22,EE-GUN-910935,Reserve Military,Yes,-,Estonian,Female,Teacher,High School,Widowed
Adapter,222 Rem,Keller-Simmann,Yes,49708261821,Jelena Popov,1997-08-26,"09666 Jõgi Shoal, South Ljudmilashire, MI 20072",2022-04-17,EE-GUN-189166,Narva Gun Enthusiasts,None,Scope added,Estonian,Female,Teacher,High School,Divorced
Adapter,22 Hornet,Hubertus,Yes,38406269839,Nikolai Beljajev,1984-06-26,"5439 Viktor Motorway Suite 725, South Sergeifurt, DC 48311",2011-11-13,EE-GUN-635527,Reserve Military,None,Scope added,Estonian,Male,Nurse,High School,Widowed
Adapter,222 Rem,Keller-Simmann,Yes,60601139650,Diana Saveljev,2006-01-13,"488 Jaan Path Apt. 535, Mõttusbury, MI 45889",2031-02-24,EE-GUN-414515,Tallinn Marksmen Club,Yes,-,Estonian,Female,Engineer,PhD,Single
Adapter,22LR,Blaser-R-8,Yes,36307181052,Peeter Kirs,1963-07-18,"Unit 8799 Box 3860, DPO AP 10023",1994-08-20,EE-GUN-854493,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Lawyer,Bachelor's,Single
Adapter,223 Wylde,Deserttech-MDRX,Yes,36002072024,Urmas Aavik,1960-02-07,"232 Eller Port Apt. 383, Port Sirje, MI 74829",1991-07-27,EE-GUN-738360,Narva Gun Enthusiasts,Yes,Modified grip,Estonian,Male,Nurse,High School,Married
Adapter,22LR,CZ-581/584,Yes,39804179365,Sander Raag,1998-04-17,"12829 Aleksander Well Suite 500, East Sander, MN 62815",2026-08-03,EE-GUN-807530,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Male,Nurse,High School,Married
Adapter,22 Hornet,Hubertus,Yes,49302211754,Sirje Saar,1993-02-21,"863 Andrus Brooks Suite 137, Ivanovfurt, MI 49567",2020-06-23,EE-GUN-373484,None,No,-,Estonian,Female,Retired,High School,Widowed
Adapter,22LR,CZ-581/584,Yes,36312066770,Sander Tuulik,1963-12-06,"Unit 9635 Box 1271, DPO AP 88593",2004-12-27,EE-GUN-565186,None,None,Barrel shortened,Estonian,Male,Engineer,High School,Widowed
Adapter,22 Mag,Krieghoff-Extra,Yes,47405232278,Mare Muru,1974-05-23,"224 Lehtmets Camp, Matiton, MI 03304",1999-11-07,EE-GUN-350035,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Female,Engineer,Bachelor's,Widowed
Adapter,22 Hornet,Hubertus,Yes,48802052366,Tiina Kadak,1988-02-05,"Unit 4277 Box 0999, DPO AP 70499",2006-04-22,EE-GUN-779152,Reserve Military,No,Barrel shortened,Estonian,Female,Nurse,Bachelor's,Widowed
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,38703165806,Vladimir Filippov,1987-03-16,"004 Kuzmin Coves, Marikahaven, NV 80630",2023-07-30,EE-GUN-575191,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Teacher,Master's,Single
Adapter,223 Wylde,Deserttech-MDRX,Yes,46301299198,Malle Valk,1963-01-29,"35075 Panov Terrace, Teesalubury, SD 63501",2001-06-28,EE-GUN-373408,Reserve Military,None,Barrel shortened,Estonian,Female,Retired,Master's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,47906032547,Aino Hallik,1979-06-03,"347 Timofejev Curve Apt. 769, Jermakovtown, AR 57197",2000-02-02,EE-GUN-295584,Reserve Military,None,Barrel shortened,Estonian,Female,Teacher,High School,Divorced
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,46012084226,Viktoria Malõšev,1960-12-08,"84236 Tatiana Squares Apt. 262, Lake Andrei, MO 86911",1994-07-31,EE-GUN-526232,Reserve Military,Yes,Scope added,Estonian,Female,Engineer,High School,Single
Adapter,22LR,CZ-581/584,Yes,48009184398,Tiina Rätsep,1980-09-18,"283 Egorov Terrace Suite 569, Igorton, NH 85347",1994-09-28,EE-GUN-452111,None,No,-,Estonian,Female,Engineer,PhD,Widowed
Adapter,22LR,CZ-581/584,Yes,37205174668,Oleg Baranov,1972-05-17,"28274 Arula Spur Suite 397, Lake Kadri, NC 78926",2011-12-29,EE-GUN-668692,Tallinn Marksmen Club,No,-,Estonian,Male,Police Officer,Master's,Divorced
Adapter,22 Hornet,Hubertus,Yes,36007212639,Rein Loorits,1960-07-21,"3956 Fedorov Run Suite 901, Lake Irina, MD 55515",1978-03-11,EE-GUN-408243,Narva Gun Enthusiasts,Yes,-,Estonian,Male,Police Officer,Bachelor's,Single
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47401117866,Natalia Rumjantsev,1974-01-11,"185 Krõlov Stravenue, East Martin, ID 83694",2014-05-07,EE-GUN-892275,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Female,Lawyer,High School,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,39901096479,Mihhail Tsvetkov,1999-01-09,"PSC 3789, Box 2624, APO AP 42005",2023-08-26,EE-GUN-226761,Tallinn Marksmen Club,No,Modified grip,Estonian,Male,Police Officer,Master's,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,38106097497,Tiit Abel,1981-06-09,"Unit 3829 Box 7145, DPO AA 21186",2022-01-31,EE-GUN-905052,Tallinn Marksmen Club,Yes,Modified grip,Estonian,Male,Lawyer,Master's,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,48810068610,Kadri Heinsalu,1988-10-06,"7368 Fjodorov Locks Apt. 117, New Tiinaville, AR 08113",2005-08-15,EE-GUN-799722,Reserve Military,Yes,Barrel shortened,Estonian,Female,Retired,PhD,Widowed
Adapter,22 Hornet,Hubertus,Yes,50204149302,Toomas Kiisk,2002-04-14,"Unit 1055 Box 9389, DPO AE 12045",2027-03-05,EE-GUN-335619,Tallinn Marksmen Club,No,Scope added,Estonian,Male,Lawyer,PhD,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,49102010293,Valentina Jegorov,1991-02-01,"73265 Mürk Locks, North Tiitmouth, NC 42478",2022-12-25,EE-GUN-370296,None,None,-,Estonian,Female,Nurse,High School,Divorced
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,46106066519,Maria Põdra,1961-06-06,"85406 Ivan Unions, Sildtown, KY 13024",1986-09-18,EE-GUN-473713,Narva Gun Enthusiasts,No,Barrel shortened,Estonian,Female,Nurse,Bachelor's,Divorced
Adapter,22LR,Blaser-R-8,Yes,48108151601,Svetlana Žuravljov,1981-08-15,"35562 Jüri Expressway, North Tarmo, AK 62701",2011-05-16,EE-GUN-862915,None,Yes,Scope added,Estonian,Female,Teacher,PhD,Married
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,36608106540,Jaan Vares,1966-08-10,"8392 Linda Skyway Suite 637, West Jaan, VA 37617",2004-07-21,EE-GUN-359662,None,No,Scope added,Estonian,Male,Retired,Master's,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,39901250023,Andres Muru,1999-01-25,"69669 Tiiu Inlet Apt. 860, Port Piretview, VT 98632",2038-05-19,EE-GUN-680129,Tallinn Marksmen Club,Yes,-,Estonian,Male,Nurse,Master's,Divorced
Adapter,222 Rem,Keller-Simmann,Yes,36509282542,Tõnu Koit,1965-09-28,"3806 Aleksander Throughway, East Mariafurt, KY 73670",1988-01-30,EE-GUN-465072,Narva Gun Enthusiasts,Yes,Barrel shortened,Estonian,Male,Police Officer,Master's,Divorced
Adapter,22LR,Blaser-R-8,Yes,50105249100,Meelis Palu,2001-05-24,"77839 Aas Track, Marefurt, KS 16844",2024-08-25,EE-GUN-264248,None,None,-,Estonian,Male,Teacher,Master's,Divorced
Adapter,22LR,Blaser-R-8,Yes,49402276980,Anna Õunapuu,1994-02-27,"645 Valge Locks Suite 429, South Elena, VT 08896",2013-01-30,EE-GUN-787296,Reserve Military,No,Scope added,Estonian,Female,Lawyer,Bachelor's,Married
Adapter,22LR,CMMG-Bravo-AR-15,Yes,37012144761,Tõnu Luts,1970-12-14,"6915 Galina Highway Suite 062, West Nadežda, VA 36178",2001-12-24,EE-GUN-795749,Tallinn Marksmen Club,Yes,Scope added,Estonian,Male,Engineer,PhD,Married
Adapter,223 Wylde,Deserttech-MDRX,Yes,46211012196,Julia Davõdov,1962-11-01,"50577 Elena Squares Apt. 671, Dmitrievfurt, TX 43726",1986-04-22,EE-GUN-935801,Reserve Military,Yes,Barrel shortened,Estonian,Female,Retired,Master's,Single
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,60407190666,Aleksandra Solovjov,2004-07-19,"62855 Filatov Light, East Sanderborough, ME 35678",2036-01-26,EE-GUN-649873,Tallinn Marksmen Club,Yes,-,Estonian,Female,Lawyer,High School,Widowed
Adapter,22LR,Blaser-R-8,Yes,60407303378,Tatiana Suvorov,2004-07-30,"05212 Niina Mall, South Olegfort, DC 25549",2031-04-01,EE-GUN-617009,Reserve Military,None,Modified grip,Estonian,Female,Lawyer,High School,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,46411223855,Jelena Komarov,1964-11-22,"6223 Teearu Route Suite 921, South Kristiton, FL 49067",1996-10-02,EE-GUN-897504,Tallinn Marksmen Club,Yes,Modified grip,Estonian,Female,Police Officer,Master's,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,39004262481,Valeri Romanov,1990-04-26,"222 Soosaar Squares Apt. 756, Aleksandrashire, WV 67652",2029-09-12,EE-GUN-658324,Reserve Military,No,-,Estonian,Male,Teacher,Master's,Widowed
Adapter,22 Hornet,Hubertus,Yes,50607133141,Andrus Kaur,2006-07-13,"92429 Aino Haven, East Igorfort, OH 08348",2021-12-05,EE-GUN-430944,Tallinn Marksmen Club,No,Modified grip,Estonian,Male,Teacher,PhD,Divorced
Adapter,223 Rem,Uronen-Precision-UR-15,Yes,38508281138,Tiit Tamm,1985-08-28,"1618 Peterson Hill Apt. 978, Trofimovhaven, AK 04585",2014-05-04,EE-GUN-436395,None,No,Scope added,Estonian,Male,Nurse,Bachelor's,Single
Adapter,22LR,CZ-75-Kadett-adapter,Yes,60308206931,Maie Lumiste,2003-08-20,"6788 Kaljurand Mountains Apt. 439, Lake Rein, IL 57634",2018-12-26,EE-GUN-993220,Narva Gun Enthusiasts,None,Barrel shortened,Estonian,Female,Teacher,PhD,Widowed
Adapter,223 Wylde,Deserttech-MDRX,Yes,49105026787,Piret Raud,1991-05-02,"9922 Mihkel Parkways Apt. 989, Lake Tõnu, NV 19024",2030-03-17,EE-GUN-909011,Narva Gun Enthusiasts,Yes,Modified grip,Estonian,Female,Retired,Master's,Divorced
Adapter,22 Mag,Krieghoff-Extra,Yes,48506139001,Anu Pettai,1985-06-13,"12923 Raud Island, Tiinaview, KY 88122",2008-03-03,EE-GUN-773885,Tallinn Marksmen Club,No,Barrel shortened,Estonian,Female,Retired,PhD,Married
Adapter,22 Mag,Krieghoff-Extra,Yes,39601274212,Andres Mäeots,1996-01-27,"4435 Roman Loop Apt. 084, East Natalja, IL 79513",2033-03-22,EE-GUN-427330,Tallinn Marksmen Club,Yes,-,Estonian,Male,Engineer,High School,Single
Adapter,22 Mag,Heym-16-22-Magnum-Extra,Yes,50505216057,Jaanus Susi,2005-05-21,"PSC 0737, Box 0125, APO AE 02414",2021-09-02,EE-GUN-415105,None,No,Barrel shortened,Estonian,Male,Police Officer,Bachelor's,Widowed
Adapter,.300 BLK,Uronen-Precision-UR-15,Yes,47009027513,Triin Karu,1970-09-02,"673 Peeter Keys, Käärikview, RI 75068",1994-10-06,EE-GUN-396900,Reserve Military,No,-,Estonian,Female,Nurse,High School,Divorced
